date,bab
193012,-0.06
193101,-2.24
193102,-7.74
193103,2.92
193104,-1.3
193105,-0.72
193106,-7.87
193107,1.16
193108,0.75
193109,-3.65
193110,-7.39
193111,0.85
193112,-1.71
193201,-6.03
193202,0.64
193203,4.21
193204,-2.49
193205,0.39
193206,-4.75
193207,-19.07
193208,-11.54
193209,5.89
193210,6.04
193211,3.66
193212,-0.91
193301,0.65
193302,3.84
193303,0.5
193304,-7.65
193305,18.65
193306,11.96
193307,-2.2
193308,1.05
193309,3.57
193310,-0.99
193311,-0.6
193312,0.82
193401,2.23
193402,2.97
193403,1.68
193404,9.56
193405,0.38
193406,3.49
193407,3.07
193408,-2.95
193409,2.4
193410,5.04
193411,6.34
193412,-0.08
193501,2.84
193502,7.46
193503,1.06
193504,2.47
193505,2.55
193506,3.57
193507,-0.97
193508,-2.32
193509,2.17
193510,1.58
193511,-2.53
193512,2.26
193601,-2.93
193602,0.83
193603,1.42
193604,-0.58
193605,1.96
193606,1.48
193607,2.36
193608,0.75
193609,3.38
193610,4.0
193611,2.85
193612,-5.12
193701,-1.55
193702,-0.97
193703,-5.04
193704,0.62
193705,1.05
193706,-0.98
193707,-0.23
193708,1.19
193709,-2.8
193710,-3.41
193711,-3.39
193712,3.38
193801,2.69
193802,0.19
193803,0.15
193804,-2.28
193805,2.7
193806,-2.28
193807,2.6
193808,0.51
193809,-1.6
193810,-4.2
193811,2.88
193812,-0.65
193901,2.9
193902,1.53
193903,8.38
193904,-1.05
193905,3.58
193906,6.07
193907,-3.56
193908,0.34
193909,-21.95
193910,7.74
193911,6.47
193912,3.16
194001,4.23
194002,0.16
194003,1.88
194004,-0.33
194005,-9.84
194006,3.34
194007,2.37
194008,0.62
194009,1.23
194010,-1.89
194011,1.8
194012,1.86
194101,0.29
194102,-1.3
194103,0.44
194104,0.33
194105,-1.08
194106,1.72
194107,-3.12
194108,0.93
194109,2.04
194110,-0.25
194111,0.66
194112,0.01
194201,-8.31
194202,-2.22
194203,-4.03
194204,-2.06
194205,5.01
194206,2.34
194207,0.58
194208,0.54
194209,-1.83
194210,-2.02
194211,3.93
194212,2.83
194301,-5.78
194302,-6.23
194303,0.99
194304,-1.67
194305,-0.99
194306,2.56
194307,2.24
194308,0.71
194309,0.98
194310,-0.05
194311,1.95
194312,-1.11
194401,0.08
194402,-0.06
194403,-0.88
194404,0.46
194405,1.4
194406,-2.54
194407,1.94
194408,-0.41
194409,0.1
194410,2.13
194411,0.47
194412,-1.79
194501,0.43
194502,0.23
194503,1.23
194504,0.2
194505,1.53
194506,-4.86
194507,1.03
194508,3.9
194509,2.45
194510,4.86
194511,0.79
194512,1.04
194601,-0.69
194602,0.57
194603,5.84
194604,6.18
194605,0.15
194606,-1.35
194607,1.39
194608,0.65
194609,0.16
194610,0.2
194611,1.94
194612,0.78
194701,-1.7
194702,0.58
194703,0.38
194704,0.27
194705,0.99
194706,2.4
194707,-0.27
194708,0.48
194709,-1.23
194710,0.81
194711,0.99
194712,0.01
194801,-2.22
194802,0.4
194803,-1.84
194804,0.43
194805,0.58
194806,-0.62
194807,0.37
194808,0.6
194809,1.45
194810,0.52
194811,1.37
194812,0.51
194901,1.69
194902,0.96
194903,-1.12
194904,2.08
194905,3.34
194906,0.41
194907,1.13
194908,2.41
194909,-0.6
194910,0.54
194911,2.14
194912,-0.04
195001,-1.12
195002,0.86
195003,0.58
195004,-3.71
195005,1.78
195006,-1.02
195007,-5.82
195008,3.36
195009,1.24
195010,1.16
195011,-0.92
195012,-3.61
195101,0.59
195102,2.23
195103,0.46
195104,-1.39
195105,2.12
195106,1.71
195107,-1.53
195108,-0.22
195109,-1.18
195110,0.41
195111,0.05
195112,0.77
195201,0.77
195202,0.16
195203,-1.21
195204,0.9
195205,0.48
195206,-0.77
195207,0.87
195208,2.04
195209,0.83
195210,-0.39
195211,0.4
195212,-0.01
195301,1.42
195302,0.62
195303,0.58
195304,-0.53
195305,0.12
195306,-0.07
195307,1.05
195308,3.99
195309,0.03
195310,-0.54
195311,0.77
195312,2.62
195401,-1.02
195402,0.21
195403,0.06
195404,1.18
195405,-0.05
195406,1.33
195407,1.86
195408,0.75
195409,0.55
195410,-0.96
195411,1.55
195412,-1.69
195501,0.76
195502,0.08
195503,-1.09
195504,1.61
195505,0.1
195506,-0.51
195507,2.83
195508,-1.35
195509,-0.4
195510,0.1
195511,-2.63
195512,-1.56
195601,1.9
195602,-0.93
195603,-1.33
195604,-1.09
195605,1.7
195606,-1.33
195607,-0.78
195608,1.16
195609,0.2
195610,-0.03
195611,-0.81
195612,-2.63
195701,5.3
195702,1.51
195703,0.66
195704,0.53
195705,-1.48
195706,-1.21
195707,1.02
195708,3.45
195709,3.8
195710,1.11
195711,1.51
195712,6.54
195801,0.5
195802,4.68
195803,1.03
195804,2.68
195805,0.6
195806,0.38
195807,-2.63
195808,0.44
195809,-0.04
195810,2.21
195811,1.71
195812,3.59
195901,2.54
195902,0.96
195903,0.41
195904,-1.12
195905,-0.9
195906,-1.78
195907,2.33
195908,3.37
195909,-0.04
195910,-1.64
195911,-0.82
195912,0.02
196001,2.13
196002,0.32
196003,2.36
196004,2.84
196005,-1.22
196006,3.8
196007,2.38
196008,2.65
196009,0.1
196010,1.1
196011,1.56
196012,2.36
196101,2.18
196102,2.38
196103,2.56
196104,2.82
196105,0.57
196106,0.68
196107,0.77
196108,4.1
196109,3.12
196110,4.7
196111,3.17
196112,-2.85
196201,-2.4
196202,1.5
196203,1.09
196204,0.4
196205,-4.14
196206,0.23
196207,-0.09
196208,0.02
196209,1.78
196210,-1.13
196211,-3.5
196212,2.81
196301,2.9
196302,1.24
196303,-0.06
196304,0.32
196305,-0.98
196306,0.52
196307,0.81
196308,-1.22
196309,1.07
196310,-1.88
196311,-0.52
196312,0.01
196401,0.61
196402,-0.5
196403,-0.19
196404,2.53
196405,0.52
196406,0.79
196407,2.16
196408,0.94
196409,-1.84
196410,0.62
196411,1.99
196412,-0.03
196501,0.06
196502,-0.09
196503,-0.47
196504,-0.44
196505,-0.01
196506,0.08
196507,-0.96
196508,-1.94
196509,-1.26
196510,-1.74
196511,-2.06
196512,-0.11
196601,1.35
196602,-1.7
196603,0.37
196604,-1.1
196605,0.01
196606,-1.37
196607,-0.02
196608,-3.0
196609,1.26
196610,2.14
196611,-5.29
196612,-0.74
196701,1.4
196702,2.62
196703,0.81
196704,1.71
196705,2.01
196706,-1.63
196707,4.56
196708,2.27
196709,2.13
196710,-0.04
196711,-0.75
196712,0.2
196801,6.29
196802,2.13
196803,-1.58
196804,0.17
196805,1.81
196806,6.89
196807,2.47
196808,0.15
196809,0.71
196810,3.22
196811,2.57
196812,1.05
196901,0.69
196902,-0.31
196903,-1.76
196904,-0.48
196905,1.76
196906,-1.31
196907,-1.04
